cnt,daddr,dport,hst,last,proto,saddr,sport,uri
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:54:11.988,6,10.2.0.1,1806,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:54:23.988,6,10.2.0.1,1808,/HWJavaSocket/images/uon_logo_black_transparent_bg_small.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:54:23.988,6,10.2.0.1,1806,/HWJavaSocket/js/styles.css
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:54:23.988,6,10.2.0.1,1809,/HWJavaSocket/images/device.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:55:52.988,6,10.2.0.1,1813,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:55:53.988,6,10.2.0.1,1813,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:55:54.988,6,10.2.0.1,1814,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:55:55.99,6,10.2.0.1,1814,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:55:57.987,6,10.2.0.1,1814,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:56:09.988,6,10.2.0.1,1814,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:56:15.988,6,10.2.0.1,1814,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:56:24.988,6,10.2.0.1,1826,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:56:31.989,6,10.2.0.1,1826,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:57:50.988,6,10.2.0.1,1832,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:57:51.988,6,10.2.0.1,1832,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:57:53.987,6,10.2.0.1,1832,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:57:56.988,6,10.2.0.1,1832,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:57:58.988,6,10.2.0.1,1832,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:58:10.989,6,10.2.0.1,1832,/HWJavaSocket/js/HWStatsUsageFlows_sql_.csv
