daddr,dport,last,nbytes,npkts,proto,saddr,sport
10.2.0.1,1099,2012-04-25 18:02:30.953,364,2,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:02:30.953,376,4,6,10.2.0.1,1099
10.2.0.1,1099,2012-04-25 18:02:31.955,9858,11,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:02:31.955,618,7,6,10.2.0.1,1099
10.2.0.2,53,2012-04-25 18:02:34.958,88,1,17,10.2.0.1,52428
10.2.0.1,52428,2012-04-25 18:02:34.958,88,1,17,10.2.0.2,53
10.2.0.1,56461,2012-04-25 18:02:40.963,146,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:02:40.963,146,1,17,10.2.0.1,56461
10.2.0.1,1518,2012-04-25 18:02:49.97,54,1,6,10.2.0.2,8080
10.2.0.2,8080,2012-04-25 18:02:49.97,54,1,6,10.2.0.1,1518
10.2.0.2,53,2012-04-25 18:02:50.972,82,1,17,10.2.0.1,56264
10.2.0.1,56264,2012-04-25 18:02:50.972,82,1,17,10.2.0.2,53
10.2.0.1,1518,2012-04-25 18:02:57.978,54,1,6,10.2.0.2,8080
10.2.0.2,8080,2012-04-25 18:02:57.978,54,1,6,10.2.0.1,1518
10.2.0.2,53,2012-04-25 18:03:03.983,75,1,17,10.2.0.1,56453
10.2.0.2,53,2012-04-25 18:03:03.983,79,1,17,10.2.0.1,50076
10.2.0.1,50076,2012-04-25 18:03:03.983,79,1,17,10.2.0.2,53
10.2.0.1,56453,2012-04-25 18:03:03.983,75,1,17,10.2.0.2,53
10.2.0.1,55771,2012-04-25 18:03:31.004,88,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:03:31.004,88,1,17,10.2.0.1,55771
10.2.0.2,53,2012-04-25 18:03:45.015,82,1,17,10.2.0.1,57681
10.2.0.1,57681,2012-04-25 18:03:45.015,82,1,17,10.2.0.2,53
10.2.0.2,22,2012-04-25 18:03:49.018,316,2,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:03:49.019,268,2,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:03:50.02,940520,636,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:03:50.021,20594,339,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:03:51.023,1675166,1129,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:03:51.023,36634,607,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:03:52.025,1136902,767,6,10.2.0.1,1123
10.2.0.1,1099,2012-04-25 18:03:53.026,418,3,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:03:53.026,176674,117,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:03:53.026,4242,69,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:03:53.026,322,3,6,10.2.0.1,1099
10.2.0.1,1099,2012-04-25 18:03:54.028,230,1,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:03:54.028,225122,149,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:03:54.028,5080,84,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:03:54.029,54,1,6,10.2.0.1,1099
10.2.0.2,22,2012-04-25 18:03:55.03,1118364,746,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:03:55.031,27748,456,6,10.2.0.2,22
10.2.0.2,53,2012-04-25 18:03:56.033,91,1,17,10.2.0.1,55861
10.2.0.2,22,2012-04-25 18:03:56.034,1340242,889,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:03:56.034,34126,553,6,10.2.0.2,22
10.2.0.1,55861,2012-04-25 18:03:56.034,91,1,17,10.2.0.2,53
10.2.0.2,22,2012-04-25 18:03:57.036,672554,449,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:03:57.036,16022,263,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:03:58.037,1006344,668,6,10.2.0.1,1123
